Sex,HighSchool,remoteness,Year,cohort_cat,weekly_cannabis,AgeR
2,0,2,2004,3,0,3.9000001
2,1,1,2004,4,0,2.5
2,0,2,2004,3,0,3.4000001
2,1,2,2004,3,0,3.5
2,0,2,2004,1,0,6.3000002
2,1,2,2004,1,1,5.6999998
1,1,1,2004,5,0,2
2,0,2,2004,4,0,3.2
2,0,1,2004,3,0,4
2,1,3,2004,3,0,3.4000001
2,0,3,2004,2,0,5.0999999
1,1,1,2004,5,0,2
1,0,2,2004,1,0,6
2,0,3,2004,2,0,5
2,1,3,2004,4,0,2.5999999
2,0,3,2004,4,1,2.7
1,0,3,2004,2,0,4.9000001
1,0,2,2004,2,0,5.3000002
1,0,2,2004,1,0,5.4000001
2,1,2,2004,2,0,4.5
1,0,2,2004,2,0,5
1,0,2,2004,3,0,3.5999999
2,1,2,2004,3,0,4.0999999
2,1,2,2004,5,0,1.8
2,1,1,2004,5,0,1.9
1,1,1,2004,3,0,4.0999999
2,0,1,2004,1,0,5.5999999
1,1,1,2004,4,0,3.0999999
2,1,1,2004,3,0,4
2,1,1,2004,3,0,3.7
2,0,1,2004,1,0,6.3000002
1,1,1,2004,1,0,6
1,0,3,2004,2,0,5.3000002
1,0,3,2004,2,0,4.6999998
1,1,3,2004,1,0,6.1999998
1,1,3,2004,3,0,3.7
1,0,3,2004,3,0,4.3000002
2,1,3,2004,1,0,5.8000002
2,1,3,2004,5,1,2.0999999
1,0,2,2004,2,0,4.9000001
1,0,3,2004,5,0,2.3
2,1,3,2004,2,1,5
2,1,3,2004,5,0,2.3
1,1,3,2004,4,0,3.3
2,1,3,2004,2,0,5.1999998
2,0,3,2004,3,0,4.3000002
1,1,3,2004,5,0,1.8
2,1,3,2004,4,0,3
2,0,3,2004,2,0,5.0999999
2,0,3,2004,1,0,5.5
2,0,3,2004,1,0,5.4000001
1,0,3,2004,1,0,5.6999998
2,1,3,2004,4,0,3.0999999
2,0,3,2004,2,0,4.4000001
1,1,3,2004,3,0,3.5
1,1,3,2004,4,0,2.7
1,0,3,2004,3,1,4.1999998
1,0,3,2004,2,0,4.9000001
1,0,1,2004,4,1,2.5
1,1,1,2004,4,1,3.2
1,1,1,2004,2,0,5
2,1,1,2004,3,0,3.5
1,1,1,2004,3,0,4.3000002
2,1,1,2004,3,0,3.5
1,0,2,2004,1,0,6.1999998
2,0,1,2004,5,0,2.2
1,1,1,2004,3,0,3.5999999
1,0,3,2004,5,0,2.0999999
1,0,3,2004,4,0,3.2
2,1,1,2004,3,0,3.5999999
2,0,1,2004,3,0,4.1999998
2,0,1,2004,2,0,4.8000002
2,0,1,2004,3,0,4.3000002
2,1,1,2004,5,0,1.9
2,1,1,2004,4,0,3.2
2,0,1,2004,2,0,5
2,1,1,2004,2,0,4.8000002
2,0,1,2004,3,0,4.1999998
2,1,2,2004,4,0,2.8
2,1,2,2004,4,0,2.5999999
2,0,2,2004,2,0,4.6999998
1,1,2,2004,3,0,4.0999999
2,0,3,2004,1,0,6.0999999
1,1,1,2004,5,0,2.0999999
2,1,1,2004,5,0,2
1,1,1,2004,1,0,6.0999999
2,0,1,2004,1,0,5.5
1,1,1,2004,2,0,5.0999999
2,0,3,2004,2,0,5.3000002
2,1,3,2004,4,0,2.5
1,0,1,2004,3,0,3.8
1,0,3,2004,3,0,3.5999999
2,1,3,2004,4,0,2.7
1,1,3,2004,3,0,3.8
2,0,3,2004,1,0,5.9000001
1,1,2,2004,2,0,5.0999999
2,0,2,2004,1,0,6.3000002
2,1,2,2004,4,0,2.9000001
1,0,3,2004,2,0,4.4000001
1,1,3,2004,1,0,6
1,0,3,2004,5,1,2.3
1,1,1,2004,4,0,2.9000001
2,0,3,2004,3,1,3.4000001
2,1,3,2004,3,0,4
2,0,3,2004,5,0,2
1,0,3,2004,2,0,4.5
1,1,3,2004,2,0,5.1999998
2,0,3,2004,1,0,5.6999998
1,1,1,2004,3,0,4
1,1,1,2004,4,0,2.8
2,0,3,2004,5,0,2
2,0,3,2004,1,0,5.8000002
1,0,3,2004,1,0,6.1999998
1,1,3,2004,4,1,3.3
1,0,3,2004,4,0,2.7
2,1,1,2004,3,0,4
2,1,1,2004,4,0,3
1,0,3,2004,3,0,4
2,0,3,2004,1,0,5.9000001
1,0,3,2004,1,0,5.8000002
2,1,1,2004,5,0,1.9
2,0,1,2004,1,0,5.9000001
2,0,1,2004,3,0,3.7
2,0,2,2004,4,0,2.5999999
2,0,1,2004,2,0,5.0999999
1,1,3,2004,1,0,5.5999999
1,0,3,2004,2,0,4.6999998
2,1,1,2004,4,0,2.7
2,1,1,2004,5,0,2.3
1,1,1,2004,3,0,4.1999998
2,0,1,2004,5,0,2.3
2,0,3,2004,2,0,4.6999998
1,1,1,2004,1,0,5.4000001
2,0,3,2004,1,1,5.5999999
1,0,3,2004,3,0,4
2,0,3,2004,3,1,4.1999998
1,0,3,2004,3,0,4
2,0,1,2004,5,1,2.0999999
1,0,1,2004,3,1,3.5
2,0,1,2004,1,0,5.8000002
2,0,3,2004,2,1,4.5
2,0,3,2004,3,1,4.1999998
2,1,3,2004,5,0,2.3
1,1,3,2004,4,0,2.5999999
2,0,3,2004,2,0,4.5
2,0,3,2004,1,0,6.1999998
2,0,1,2004,3,0,3.4000001
2,1,1,2004,1,0,5.6999998
2,1,1,2004,3,0,4.0999999
2,1,1,2004,5,0,2.0999999
1,0,1,2004,4,0,2.5
2,1,1,2004,4,0,2.4000001
2,0,1,2004,3,0,4.0999999
1,1,1,2004,5,0,1.8
1,0,1,2004,3,0,3.4000001
1,0,1,2004,1,0,5.4000001
1,0,1,2004,1,0,5.9000001
2,0,1,2004,2,0,4.6999998
2,1,1,2004,3,0,3.5
2,1,1,2004,2,0,5.1999998
1,1,1,2004,4,0,2.4000001
1,0,2,2004,4,0,3.0999999
1,0,3,2004,1,0,5.6999998
1,0,3,2004,1,0,6.3000002
1,0,2,2004,4,0,3.2
1,0,2,2004,3,0,3.9000001
2,0,2,2004,4,0,3.0999999
1,0,2,2004,1,0,6.0999999
2,1,2,2004,2,0,5.1999998
2,0,2,2004,2,0,4.8000002
1,0,3,2004,4,1,3.0999999
1,1,3,2004,3,0,3.9000001
1,0,2,2004,3,0,3.7
2,1,2,2004,1,0,6.0999999
2,0,3,2004,4,0,3.3
1,0,3,2004,2,0,4.4000001
2,0,1,2004,2,0,5
1,0,3,2004,2,0,5.1999998
2,1,1,2004,1,0,5.8000002
1,0,3,2004,3,0,3.9000001
1,1,2,2004,2,0,4.5
2,0,2,2004,5,0,2.2
2,1,2,2004,4,0,2.8
2,1,2,2004,4,0,2.9000001
2,1,2,2004,3,0,3.5999999
2,0,3,2004,4,0,3.2
2,1,3,2004,3,0,4.3000002
2,1,3,2004,1,0,5.5
2,1,3,2004,3,0,4.1999998
2,0,3,2004,2,0,4.4000001
1,1,1,2004,1,0,5.5
2,1,1,2004,4,0,3.2
2,1,1,2004,3,0,4.1999998
2,0,1,2004,1,0,6.1999998
1,0,1,2004,2,0,5
1,1,1,2004,4,0,3.2
1,1,1,2004,3,0,4.3000002
1,1,1,2004,5,0,1.8
2,1,1,2004,2,0,5.1999998
1,0,2,2004,2,0,5.1999998
2,1,1,2004,1,0,6.0999999
1,1,1,2004,1,0,6.0999999
2,1,1,2004,1,0,6.0999999
2,0,2,2004,3,0,3.7
2,1,2,2004,3,0,3.7
1,0,3,2004,1,0,6
2,1,2,2004,3,0,3.4000001
1,1,3,2004,4,1,3.2
1,0,2,2004,4,0,3.0999999
2,0,3,2004,2,0,5
2,1,3,2004,5,0,2.2
2,1,2,2004,3,0,3.4000001
2,0,2,2004,2,0,5.1999998
2,1,2,2004,2,0,4.8000002
1,0,2,2004,4,0,3.3
1,0,1,2004,5,0,2.3
1,1,1,2004,5,0,1.8
2,0,2,2004,2,0,5.1999998
2,0,1,2004,1,0,5.5
2,1,2,2004,3,0,3.8
2,0,2,2004,4,0,2.5999999
1,0,1,2004,3,0,3.5
2,0,2,2004,1,0,6
1,0,2,2004,3,0,4.1999998
1,1,2,2004,1,0,5.4000001
2,1,2,2004,2,0,4.9000001
1,0,2,2004,1,0,6.0999999
1,0,2,2004,1,0,5.9000001
2,0,1,2004,1,0,5.8000002
2,0,1,2004,1,0,6.3000002
2,1,2,2004,3,0,3.5
1,0,1,2004,1,0,6.1999998
1,1,1,2004,4,0,2.5
2,0,2,2004,1,0,5.5999999
2,1,1,2004,5,0,2
2,0,2,2004,4,0,2.7
2,0,2,2004,2,0,4.5
1,1,1,2004,4,0,3.3
1,1,1,2004,5,0,2
1,1,1,2004,5,1,2.2
2,0,1,2004,1,0,5.9000001
2,1,2,2004,3,0,4
1,1,2,2004,1,0,6.0999999
2,1,1,2004,5,0,1.8
1,1,1,2004,3,0,3.4000001
2,0,2,2004,2,0,5.1999998
2,1,2,2004,2,0,4.8000002
2,0,2,2004,2,0,5.1999998
1,0,2,2004,3,0,4.0999999
2,0,2,2004,1,0,5.6999998
1,1,2,2004,2,0,4.5
2,1,2,2004,1,0,5.8000002
1,0,2,2004,1,0,6.0999999
1,0,1,2004,2,0,4.6999998
1,1,3,2004,1,0,6.1999998
2,0,1,2004,1,0,5.5999999
1,1,2,2004,3,0,3.5999999
1,0,2,2004,3,0,3.4000001
2,1,2,2004,4,1,3.2
2,1,1,2004,3,0,4.3000002
2,1,1,2004,4,0,3
1,0,1,2004,1,0,6.0999999
1,1,2,2004,1,0,6
1,1,2,2004,5,0,2
1,1,2,2004,2,0,4.5999999
1,0,2,2004,3,0,4.1999998
2,1,2,2004,3,0,3.4000001
1,0,2,2004,2,0,4.5999999
2,0,2,2004,1,0,5.5
1,0,2,2004,2,0,5.1999998
1,0,2,2004,2,0,4.4000001
2,1,2,2004,4,0,3
1,0,3,2004,3,0,3.7
2,0,3,2004,5,0,2.2
1,0,1,2004,1,0,5.6999998
1,0,2,2004,4,0,3.3
2,0,2,2004,4,0,2.8
2,1,3,2004,4,0,2.7
1,1,3,2004,3,0,4
2,1,2,2004,2,0,4.5
1,1,2,2004,3,0,3.5
2,1,2,2004,5,0,2.2
2,0,2,2004,1,0,5.6999998
2,1,2,2004,5,0,2
1,0,1,2004,3,0,3.7
1,1,1,2004,2,0,4.5999999
1,0,2,2004,1,0,5.6999998
2,1,1,2004,4,0,2.5
1,1,1,2004,2,0,5.1999998
2,1,1,2004,3,0,4.0999999
2,0,1,2004,3,0,3.9000001
2,1,1,2004,3,0,3.5999999
2,1,2,2004,5,0,2.0999999
1,0,2,2004,3,0,4.3000002
2,1,2,2004,2,0,5.3000002
2,1,2,2004,5,0,2.2
2,0,1,2004,1,0,6.3000002
1,1,1,2004,3,0,3.7
2,1,1,2004,4,0,2.5
1,1,1,2004,4,0,3.3
1,0,2,2004,1,0,5.5999999
2,0,2,2004,1,0,6.1999998
2,1,1,2004,4,0,2.5999999
1,1,2,2004,1,0,6.1999998
2,0,2,2004,2,0,4.5
2,1,2,2004,4,0,2.9000001
1,1,1,2004,4,0,2.5999999
2,1,1,2004,2,0,4.4000001
1,1,1,2004,1,0,5.9000001
1,1,2,2004,1,0,5.6999998
2,0,1,2004,4,0,3.0999999
2,1,1,2004,4,0,2.9000001
2,1,1,2004,3,0,3.5999999
1,0,1,2004,4,1,3.3
2,1,3,2004,4,0,2.9000001
1,1,1,2004,3,0,3.8
1,1,1,2004,3,0,4
2,0,1,2004,2,0,4.8000002
2,1,1,2004,3,0,3.4000001
2,1,1,2004,3,0,3.5999999
2,1,1,2004,4,0,3.2
2,0,1,2004,1,0,5.6999998
1,0,1,2004,2,1,4.5
2,0,1,2004,3,0,4.3000002
2,0,1,2004,1,0,5.5
1,0,1,2004,1,0,5.4000001
2,1,3,2004,3,0,4
1,0,3,2004,2,0,4.9000001
2,0,1,2004,2,0,5.3000002
2,1,1,2004,2,0,4.8000002
2,1,1,2004,3,0,3.9000001
2,1,3,2004,2,0,5.0999999
2,0,3,2004,1,0,6.0999999
1,0,1,2004,2,0,5.3000002
2,1,1,2004,2,0,5.3000002
1,0,1,2004,2,0,5.3000002
2,0,3,2004,2,0,4.9000001
1,0,1,2004,3,0,4
2,0,1,2004,2,0,5
2,0,1,2004,1,0,5.8000002
2,0,1,2004,1,0,5.4000001
1,0,1,2004,5,0,2.0999999
1,1,1,2004,4,0,2.4000001
1,1,1,2004,4,0,3.2
2,1,1,2004,4,0,3
2,1,1,2004,1,0,5.9000001
1,1,1,2004,3,0,4.3000002
2,1,1,2004,2,0,5.3000002
1,1,1,2004,3,0,4
2,0,2,2004,3,0,3.9000001
2,0,1,2004,3,0,3.9000001
1,1,1,2004,3,0,3.9000001
1,1,1,2004,3,0,3.4000001
2,1,1,2004,4,0,2.7
2,1,1,2004,3,0,3.4000001
2,1,2,2004,2,0,5.0999999
2,0,2,2004,1,0,6.0999999
1,1,1,2004,2,0,5
2,1,2,2004,1,0,5.6999998
2,1,1,2004,4,0,3.3
2,0,1,2004,2,0,4.8000002
2,1,1,2004,3,0,3.5999999
2,1,1,2004,3,0,3.5
1,1,3,2004,1,0,5.6999998
1,1,3,2004,1,0,5.6999998
2,1,2,2004,2,0,5.3000002
2,1,1,2004,5,1,1.8
1,0,1,2004,2,0,5.1999998
1,1,1,2004,4,0,3.0999999
2,1,2,2004,3,0,3.5
1,1,2,2004,2,0,4.9000001
1,0,2,2004,2,1,5.0999999
1,0,1,2004,3,0,4
2,1,1,2004,3,0,3.5
2,1,1,2004,2,0,4.5999999
2,1,1,2004,4,0,3
2,1,1,2004,3,0,3.7
2,0,2,2004,2,0,4.9000001
2,0,2,2004,2,0,5
2,0,2,2004,4,0,3.2
2,1,2,2004,5,0,1.8
1,0,3,2004,2,0,4.9000001
1,0,3,2004,3,0,3.7
2,0,2,2004,1,0,5.4000001
1,0,3,2004,3,0,4.1999998
1,0,3,2004,2,0,5
2,0,3,2004,4,0,3.0999999
2,0,3,2004,1,0,5.6999998
1,0,2,2004,2,0,4.4000001
2,1,3,2004,4,0,2.4000001
1,1,3,2004,1,0,5.5
2,1,3,2004,1,0,5.9000001
2,0,3,2004,1,0,5.4000001
1,1,3,2004,3,0,3.9000001
1,1,2,2004,1,0,5.4000001
2,0,2,2004,4,0,2.7
2,1,3,2004,1,0,5.5
2,1,1,2004,4,0,2.4000001
2,1,1,2004,4,0,2.7
1,1,1,2004,4,0,3.2
1,1,1,2004,1,0,6
1,1,1,2004,5,0,1.9
1,0,2,2004,2,0,4.8000002
2,0,2,2004,2,0,4.4000001
2,1,2,2004,1,0,6
2,1,1,2004,4,0,2.5
1,1,1,2004,5,0,1.9
1,1,1,2004,4,0,2.9000001
2,1,1,2004,4,0,3.2
2,1,1,2004,2,0,5.1999998
1,0,1,2004,2,0,4.4000001
2,1,2,2004,3,0,4
2,0,2,2004,4,0,2.9000001
2,1,1,2004,2,0,4.8000002
2,1,1,2004,5,0,2.3
1,0,1,2004,5,0,2
1,0,1,2004,1,0,5.6999998
2,0,1,2004,1,0,5.6999998
2,0,1,2004,3,1,4.3000002
2,0,2,2004,4,0,2.7
2,0,1,2004,1,0,6
1,0,1,2004,4,0,2.4000001
2,0,1,2004,3,0,4.0999999
1,0,1,2004,3,0,4.1999998
2,1,2,2004,4,0,2.9000001
2,1,2,2004,1,0,5.9000001
2,0,2,2004,3,0,4.0999999
2,1,2,2004,4,0,3.0999999
1,0,1,2004,2,0,5.3000002
1,1,1,2004,1,0,5.6999998
1,0,2,2004,2,0,5.3000002
2,1,1,2004,3,0,3.5999999
2,0,2,2004,3,0,3.7
1,1,1,2004,2,0,5
1,1,1,2004,4,1,2.5999999
2,1,1,2004,4,0,3.2
1,0,1,2004,3,0,4.0999999
2,0,2,2004,2,0,5.0999999
2,1,1,2004,4,0,3
1,1,3,2004,2,0,5
2,0,1,2004,4,0,3
2,0,2,2004,4,1,2.7
1,0,2,2004,1,0,5.4000001
2,1,2,2004,1,0,5.6999998
1,1,1,2004,1,0,6.3000002
1,1,3,2004,1,0,6.0999999
1,1,2,2004,4,0,2.5999999
2,1,2,2004,4,0,3.0999999
2,0,3,2004,2,1,5.1999998
2,1,3,2004,2,0,5
2,1,3,2004,3,0,3.8
2,1,1,2004,3,0,3.9000001
2,1,1,2004,4,0,2.4000001
2,1,1,2004,4,0,3.2
1,0,1,2004,4,0,2.9000001
1,0,1,2004,5,0,2.3
1,1,3,2004,3,0,3.5999999
1,0,2,2004,3,1,3.7
2,0,2,2004,4,0,3.0999999
1,0,2,2004,1,0,6
1,0,3,2004,2,0,4.4000001
1,1,3,2004,2,0,4.8000002
2,0,1,2004,2,0,5.1999998
2,0,1,2004,4,0,3.3
2,0,3,2004,3,1,3.7
2,1,3,2004,3,0,3.8
2,1,1,2004,3,0,3.5
2,1,1,2004,4,0,3.2
1,1,1,2004,4,0,3.2
2,1,1,2004,4,0,2.7
1,1,1,2004,1,0,5.6999998
2,0,2,2004,2,0,5.1999998
2,1,2,2004,5,0,2.2
2,1,2,2004,5,0,2.2
2,0,2,2004,5,0,2
2,0,2,2004,1,0,5.5999999
1,0,2,2004,2,1,5.0999999
1,1,1,2004,1,0,6.3000002
1,0,1,2004,3,0,3.9000001
1,1,1,2004,4,0,2.5
2,1,1,2004,4,0,3.0999999
1,1,1,2004,1,0,5.5999999
1,0,1,2004,1,0,6
1,1,1,2004,4,0,2.9000001
1,0,1,2004,2,0,4.9000001
1,1,1,2004,3,0,3.5
2,1,1,2004,2,0,4.8000002
2,0,1,2004,3,0,3.5999999
2,1,1,2004,1,0,6
2,1,1,2004,2,0,4.5999999
2,1,1,2004,4,0,2.5
1,0,1,2004,4,0,2.4000001
1,1,3,2004,4,1,2.5
1,1,2,2004,5,0,2.0999999
2,1,2,2004,3,0,3.5
1,1,2,2004,1,0,6.3000002
2,1,1,2004,3,0,4
1,0,1,2004,4,0,3.3
1,0,3,2004,2,0,5.0999999
1,0,1,2004,2,0,5
1,1,1,2004,3,0,3.5
1,1,1,2004,3,0,4.0999999
2,1,1,2004,4,0,2.9000001
1,0,1,2004,5,0,1.8
1,0,1,2004,3,0,3.7
2,1,1,2004,1,0,5.5
1,0,1,2004,2,0,4.8000002
2,0,1,2004,3,0,3.9000001
1,0,1,2004,1,0,6
2,0,1,2004,3,0,4
1,1,1,2004,1,0,5.4000001
1,1,1,2004,2,0,5.3000002
2,1,1,2004,1,0,5.5999999
1,1,1,2004,2,0,4.6999998
2,0,1,2004,1,0,6
1,0,2,2004,1,0,5.9000001
2,0,2,2004,3,0,4
1,1,1,2004,2,0,4.6999998
2,1,3,2004,5,0,2.3
1,0,3,2004,5,0,1.8
2,0,3,2004,1,0,5.8000002
1,0,3,2004,5,1,2
2,1,3,2004,3,0,3.7
2,1,1,2004,2,0,5.0999999
2,1,1,2004,3,0,3.7
1,1,1,2004,2,0,5.1999998
2,1,2,2004,5,0,2.0999999
1,0,3,2004,2,1,5
2,1,3,2004,4,0,2.4000001
1,0,3,2004,3,0,3.7
2,0,3,2004,2,0,4.5999999
2,1,1,2004,4,0,2.7
2,0,1,2004,4,0,3.2
2,1,1,2004,5,0,1.9
2,1,1,2004,3,0,3.7
2,0,1,2004,1,0,6.3000002
2,1,1,2004,5,0,2.0999999
2,1,1,2004,3,0,3.8
2,1,1,2004,5,0,1.9
2,1,1,2004,3,0,3.8
2,0,1,2004,4,0,2.7
1,1,1,2004,4,0,2.4000001
2,0,2,2004,4,0,2.5
1,0,3,2004,5,0,2.0999999
2,1,1,2004,5,0,2.0999999
2,0,2,2004,2,0,5
1,1,1,2004,4,0,2.9000001
2,1,1,2004,2,0,4.5
1,1,1,2004,5,0,1.9
1,0,1,2004,1,0,5.6999998
2,1,3,2004,4,0,2.5
1,1,1,2004,4,1,2.7
2,1,1,2004,4,0,2.5999999
2,0,1,2004,4,0,2.8
2,1,1,2004,4,0,2.9000001
1,1,2,2004,4,0,2.5999999
1,1,1,2004,5,0,1.9
1,1,1,2004,5,0,1.9
2,1,1,2004,5,0,2
2,1,1,2004,1,0,5.5
2,1,1,2004,4,0,3.2
1,1,3,2004,5,0,2.0999999
1,0,1,2004,1,0,5.4000001
1,0,1,2004,2,0,4.5999999
2,1,3,2004,5,1,2.2
2,1,2,2004,5,1,1.8
2,1,1,2004,4,1,2.5999999
2,1,1,2004,2,0,4.9000001
1,1,1,2004,2,0,5.3000002
2,1,1,2004,4,0,2.8
2,1,1,2004,4,0,2.5
2,0,2,2004,1,0,6.0999999
1,1,1,2004,4,0,2.8
2,1,1,2004,1,0,6.3000002
2,1,1,2004,2,0,4.5999999
2,1,1,2004,4,0,2.4000001
2,0,1,2004,3,0,3.5999999
1,1,1,2004,4,0,2.9000001
1,1,1,2004,4,0,2.5999999
2,0,1,2004,4,0,2.8
2,1,1,2004,4,0,2.8
1,0,3,2004,4,0,2.4000001
2,0,3,2004,5,0,1.9
1,0,1,2004,2,0,4.4000001
1,1,1,2004,5,0,2
1,1,1,2004,2,0,5.1999998
1,1,1,2004,3,0,3.7
1,1,1,2004,1,0,5.9000001
1,1,1,2004,4,0,2.4000001
1,0,2,2004,1,0,5.4000001
2,1,1,2004,4,0,3.0999999
1,1,1,2004,2,0,4.6999998
1,0,1,2004,3,0,3.5999999
1,1,1,2004,2,0,5.1999998
2,0,3,2004,5,0,2.0999999
1,0,1,2004,3,0,4
1,1,1,2004,5,0,2.3
2,1,1,2004,5,0,1.9
2,1,1,2004,2,0,4.4000001
2,0,2,2004,2,0,5
2,1,1,2004,3,0,3.4000001
2,1,1,2004,2,0,4.5999999
1,1,1,2004,1,0,5.9000001
2,1,1,2004,4,0,3.2
2,1,1,2004,4,0,2.8
2,1,1,2004,3,0,4
1,0,1,2004,4,0,3.3
2,1,1,2004,4,0,2.5999999
1,1,1,2004,3,0,4.0999999
2,1,1,2004,1,0,5.9000001
1,1,1,2004,2,0,4.9000001
2,1,1,2004,3,0,3.8
2,0,1,2004,1,0,6.1999998
2,0,1,2004,3,0,3.5999999
2,0,1,2004,1,0,5.8000002
2,1,1,2004,5,0,1.8
2,1,1,2004,2,0,4.6999998
2,1,1,2004,3,0,3.4000001
1,1,1,2004,1,0,5.5
2,1,1,2004,4,0,2.8
2,0,1,2004,4,0,2.5999999
2,1,1,2004,4,0,3
1,1,1,2004,5,0,2.0999999
1,1,1,2004,2,0,4.5999999
1,1,1,2004,3,0,3.4000001
2,1,2,2004,2,0,4.4000001
2,1,1,2004,3,0,4
2,1,1,2004,4,0,2.5
2,1,1,2004,4,0,2.9000001
2,0,1,2004,1,0,6
1,1,1,2004,4,0,3
2,0,1,2004,2,0,5.1999998
1,0,1,2004,2,0,4.4000001
2,0,1,2004,1,0,6
2,1,1,2004,4,0,2.4000001
1,1,1,2004,3,0,3.9000001
2,0,1,2004,2,0,5
2,0,1,2004,5,0,1.8
1,1,1,2004,5,0,2.3
2,1,1,2004,5,0,2.2
2,0,1,2004,2,0,5
2,1,1,2004,2,0,4.8000002
2,1,1,2004,5,0,2.0999999
1,1,1,2004,1,0,5.4000001
2,1,1,2004,2,0,4.4000001
2,1,1,2004,2,0,4.9000001
1,0,1,2004,1,0,6.3000002
2,0,1,2004,4,0,3.3
2,0,1,2004,3,0,4
1,1,1,2004,1,0,6.1999998
2,1,1,2004,2,0,5.1999998
1,0,1,2004,2,0,4.8000002
2,1,1,2004,1,0,5.4000001
2,1,2,2004,1,0,5.6999998
2,0,1,2004,1,0,5.5
2,0,1,2004,1,0,5.8000002
2,0,1,2004,4,1,3
2,1,1,2004,2,0,5.3000002
1,1,1,2004,4,0,3.2
1,1,1,2004,3,0,4.1999998
1,1,1,2004,2,0,4.4000001
2,1,1,2004,2,0,4.8000002
1,1,1,2004,1,0,5.9000001
2,0,1,2004,1,0,6.1999998
1,1,1,2004,5,0,1.9
2,0,1,2004,2,0,4.6999998
1,1,1,2004,3,0,4.0999999
1,1,1,2004,4,0,3.3
2,0,1,2004,1,0,6.0999999
2,1,1,2004,4,0,2.5
2,1,1,2004,3,0,3.4000001
2,0,1,2004,2,0,5.3000002
1,0,1,2004,5,0,2.0999999
2,0,1,2004,4,0,2.9000001
2,1,1,2004,4,0,3.2
1,1,1,2004,2,0,4.5
1,0,1,2004,4,0,3.3
2,1,1,2004,4,1,2.8
2,1,1,2004,1,0,6
2,1,1,2004,3,0,3.4000001
2,0,1,2004,2,0,4.9000001
2,1,1,2004,1,0,5.6999998
1,1,1,2004,2,0,4.4000001
1,0,2,2004,2,0,4.8000002
2,0,1,2004,1,0,5.5
2,1,1,2004,2,0,5.0999999
2,1,1,2004,3,0,3.5
1,1,1,2004,1,0,5.4000001
2,1,1,2004,4,0,3.0999999
2,0,1,2004,1,0,5.5999999
1,1,1,2004,4,0,2.4000001
1,0,1,2004,5,0,1.8
2,1,1,2004,4,0,3.0999999
1,1,1,2004,1,0,5.4000001
1,0,2,2004,4,0,2.4000001
2,0,2,2004,4,0,3.3
1,1,2,2004,2,0,5.0999999
1,1,2,2004,4,0,2.5999999
2,1,3,2004,4,0,2.5
2,1,2,2004,3,0,3.9000001
2,1,3,2004,2,0,5.1999998
1,1,2,2004,1,0,5.5
1,0,2,2004,3,0,4
2,0,2,2004,4,0,3.3
1,0,3,2004,1,0,5.4000001
1,1,2,2004,3,0,3.9000001
1,1,2,2004,4,0,2.5
1,0,3,2004,3,0,3.4000001
1,1,2,2004,4,0,3
2,1,2,2004,3,0,4.3000002
2,1,1,2004,2,0,5.1999998
1,0,2,2004,2,0,5.1999998
1,1,2,2004,1,0,5.9000001
1,0,2,2004,2,0,4.5999999
2,0,2,2004,1,0,5.9000001
2,0,2,2004,2,0,4.9000001
1,1,1,2004,4,0,2.8
2,0,2,2004,1,0,5.5999999
2,1,1,2004,4,0,3.2
2,0,2,2004,1,0,5.8000002
2,1,3,2004,2,0,5
2,1,1,2004,5,0,2
1,1,1,2004,2,0,4.5999999
1,1,2,2004,3,0,4
2,1,1,2004,3,0,4.0999999
2,0,2,2004,1,0,5.5999999
2,0,3,2004,1,0,6.1999998
1,0,2,2004,5,0,2.2
1,0,2,2004,2,0,5.1999998
2,0,2,2004,3,0,3.5
1,0,2,2004,1,0,5.8000002
2,1,1,2004,4,0,3.3
1,1,2,2004,3,0,3.9000001
2,1,2,2004,3,0,3.5999999
2,1,2,2004,1,0,6
2,0,2,2004,1,0,6.1999998
1,0,2,2004,1,0,6.0999999
1,0,3,2004,2,0,4.9000001
1,1,2,2004,2,0,4.9000001
2,1,1,2004,5,0,2.0999999
2,1,1,2004,2,0,5.3000002
1,1,1,2004,3,0,4
2,1,1,2004,3,0,3.5
2,0,1,2004,1,0,6
1,0,1,2004,1,0,5.4000001
2,0,1,2004,2,0,4.6999998
1,0,1,2004,1,0,5.8000002
2,1,2,2004,1,0,5.5999999
1,1,1,2004,3,1,4
2,1,1,2004,1,0,5.5999999
2,0,1,2004,3,0,3.5999999
1,1,1,2004,3,0,4.3000002
2,0,1,2004,2,0,4.6999998
2,1,1,2004,5,0,1.9
2,0,1,2004,1,0,6.3000002
1,1,1,2004,1,0,5.6999998
2,0,1,2004,3,1,4.1999998
2,0,1,2004,1,0,6.1999998
1,0,1,2004,3,1,3.8
1,1,1,2004,4,0,2.5
1,0,1,2004,2,0,5
2,1,1,2004,3,0,4.1999998
1,0,1,2004,2,0,4.8000002
2,1,1,2004,4,0,3
1,0,1,2004,2,0,5.1999998
2,1,1,2004,4,0,3.2
1,1,1,2004,1,0,5.5
1,1,1,2004,5,0,2.3
2,1,1,2004,1,0,5.9000001
1,1,1,2004,1,0,5.9000001
2,1,1,2004,2,0,5.1999998
1,0,1,2004,4,0,2.4000001
2,1,1,2004,1,0,6
1,1,1,2004,1,0,6.0999999
2,1,1,2004,4,0,2.4000001
1,1,1,2004,3,0,3.5999999
2,1,1,2004,3,0,3.8
1,0,1,2004,1,0,5.9000001
1,0,1,2004,2,0,5
